title,year,duration,rate,rating,rating_count,image_url
30. Back to the Future,1985,1h 56m,PG,8.5,1.4M,"https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg"
31. Spirited Away,2001,2h 4m,PG,8.6,886K,"https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
32. The Pianist,2002,2h 30m,R,8.5,946K,"https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
33. Gladiator,2000,2h 35m,R,8.5,1.7M,"https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
34. Parasite,2019,2h 12m,R,8.5,1M,"https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
35. Psycho,1960,1h 49m,R,8.5,741K,"https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
36. The Lion King,1994,1h 28m,G,8.5,1.2M,"https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
37. The Departed,2006,2h 31m,R,8.5,1.5M,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY207_CR0,0,140,207_.jpg"
38. Grave of the Fireflies,1988,1h 28m,Not Rated,8.5,334K,"https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
39. Whiplash,2014,1h 46m,R,8.5,1M,"https://m.media-amazon.com/images/M/MV5BNDE1ZDdiZTQtNzE0OC00N2IwLTlhOTItNzMyMDZhNzk0ZmQwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
40. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6,425K,"https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
41. American History X,1998,1h 59m,R,8.5,1.2M,"https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
42. The Prestige,2006,2h 10m,PG-13,8.5,1.5M,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX140_CR0,0,140,207_.jpg"
43. Léon: The Professional,1994,1h 50m,R,8.5,1.3M,"https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
44. Harakiri,1962,2h 13m,Not Rated,8.6,76K,"https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
45. Casablanca,1942,1h 42m,PG,8.5,622K,"https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
46. The Usual Suspects,1995,1h 46m,R,8.5,1.2M,"https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
47. The Intouchables,2011,1h 52m,R,8.5,958K,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
48. Cinema Paradiso,1988,2h 54m,PG,8.5,294K,"https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
49. Modern Times,1936,1h 27m,G,8.5,268K,"https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
